date,reason,range_width,clock,dst,year
2025-11-20,vol_filter_rejected,329.6999999999971,dst_30,winter (EST),2025
2025-11-21,vol_filter_rejected,337.29999999999563,dst_30,winter (EST),2025
2025-11-24,vol_filter_rejected,281.70000000000437,dst_30,winter (EST),2025
2025-11-25,vol_filter_rejected,200.0,dst_30,winter (EST),2025
2025-11-26,vol_filter_rejected,144.6999999999971,dst_30,winter (EST),2025
2025-11-27,no_breakout,82.40000000000146,dst_30,winter (EST),2025
2025-11-28,vol_filter_rejected,129.6999999999971,dst_30,winter (EST),2025
2025-12-01,vol_filter_rejected,150.70000000000437,dst_30,winter (EST),2025
2025-12-02,vol_filter_rejected,239.0,dst_30,winter (EST),2025
2025-12-03,vol_filter_rejected,245.39999999999418,dst_30,winter (EST),2025
2025-12-04,no_breakout,70.20000000000437,dst_30,winter (EST),2025
