date,entry_utc,range_width,entry,exit,reason,R,peak_R,clock,dst,year
2025-01-23,2025-01-23 14:35:00,115.80000000000291,44168.9,44173.4,SL,0.08737864077669903,0.6116504854368932,dst_open,winter (EST),2025
2025-01-27,2025-01-27 14:35:00,325.29999999999563,44292.1,44240.6,SL,-1.0,0.0,dst_open,winter (EST),2025
2025-01-29,2025-01-29 14:35:00,122.5,44873.8,44822.3,SL,-1.0,0.0,dst_open,winter (EST),2025
2025-02-03,2025-02-03 14:35:00,199.29999999999563,44030.0,43978.5,SL,-1.0,0.0,dst_open,winter (EST),2025
2025-02-05,2025-02-05 14:35:00,196.0,44551.4,44499.9,SL,-1.0,0.39805825242718446,dst_open,winter (EST),2025
2025-02-25,2025-02-25 14:35:00,262.0,43659.0,43607.5,SL,-1.0,0.0,dst_open,winter (EST),2025
2025-02-27,2025-02-27 14:35:00,266.0,43637.1,43585.6,SL,-1.0,0.0,dst_open,winter (EST),2025
2025-03-17,2025-03-17 13:35:00,228.1999999999971,41675.7,41680.2,SL,0.08737864077669903,1.4213592233010557,dst_open,summer (EDT),2025
2025-03-19,2025-03-19 13:35:00,144.5,41760.5,41709.0,SL,-1.0,0.0,dst_open,summer (EDT),2025
2025-03-26,2025-03-26 13:35:00,181.0,42777.4,42781.9,SL,0.08737864077669903,1.1067961165048543,dst_open,summer (EDT),2025
2025-04-15,2025-04-15 13:35:00,335.79999999999563,40658.0,40662.5,SL,0.08737864077669903,1.227184466019361,dst_open,summer (EDT),2025
2025-04-22,2025-04-22 13:35:00,213.20000000000437,38674.1,38678.6,SL,0.08737864077669903,1.6504854368932038,dst_open,summer (EDT),2025
2025-04-23,2025-04-23 13:35:00,255.0,40068.3,40119.8,SL,1.0,2.547572815533924,dst_open,summer (EDT),2025
2025-04-28,2025-04-28 13:35:00,259.0,40316.5,40321.0,SL,0.08737864077669903,1.7572815533980584,dst_open,summer (EDT),2025
2025-05-05,2025-05-05 13:35:00,118.80000000000291,41122.7,41096.95,SL,-0.5,0.5533980582524272,dst_open,summer (EDT),2025
2025-05-19,2025-05-19 13:35:00,193.0,42458.3,42612.8,SL,3.0,4.310679611650485,dst_open,summer (EDT),2025
2025-05-28,2025-05-28 13:35:00,159.5,42450.7,42399.2,SL,-1.0,0.12038834951464787,dst_open,summer (EDT),2025
2025-06-03,2025-06-03 13:35:00,205.0,42323.7,42328.2,SL,0.08737864077669903,0.6407766990291263,dst_open,summer (EDT),2025
2025-06-16,2025-06-16 13:40:00,165.1999999999971,42488.5,42643.0,SL,3.0,4.58252427184466,dst_open,summer (EDT),2025
2025-06-17,2025-06-17 13:35:00,155.8000000000029,42379.4,42383.9,SL,0.08737864077669903,0.883495145631068,dst_open,summer (EDT),2025
2025-06-24,2025-06-24 13:35:00,132.3000000000029,42971.0,42945.25,SL,-0.5,0.5009708737864643,dst_open,summer (EDT),2025
2025-06-26,2025-06-26 13:35:00,90.30000000000291,43237.6,43186.1,SL,-1.0,0.4368932038834951,dst_open,summer (EDT),2025
2025-06-27,2025-06-27 13:35:00,83.0,43603.2,43836.7,KILL,4.533980582524272,4.566990291262221,dst_open,summer (EDT),2025
2025-07-01,2025-07-01 13:35:00,91.5,44131.7,44571.2,KILL,8.533980582524272,8.805825242718447,dst_open,summer (EDT),2025
2025-07-03,2025-07-03 13:35:00,153.5,44690.9,44793.9,SL,2.0,3.9902912621359223,dst_open,summer (EDT),2025
2025-07-09,2025-07-09 13:35:00,184.0,44504.9,44509.4,SL,0.08737864077669903,1.6116504854368932,dst_open,summer (EDT),2025
2025-07-14,2025-07-14 13:35:00,161.5,44378.7,44383.2,SL,0.08737864077669903,1.5883495145631632,dst_open,summer (EDT),2025
2025-07-16,2025-07-16 13:35:00,241.8000000000029,44231.4,44179.9,SL,-1.0,0.0,dst_open,summer (EDT),2025
2025-07-17,2025-07-17 13:35:00,141.0,44403.1,44407.6,SL,0.08737864077669903,1.8932038834951457,dst_open,summer (EDT),2025
2025-07-22,2025-07-22 13:35:00,153.0,44426.1,44430.6,SL,0.08737864077669903,1.1359223300970873,dst_open,summer (EDT),2025
2025-08-04,2025-08-04 13:35:00,140.0,43937.0,43988.5,SL,1.0,2.1359223300970873,dst_open,summer (EDT),2025
2025-08-13,2025-08-13 13:35:00,136.0,44745.8,44848.8,SL,2.0,3.233009708737864,dst_open,summer (EDT),2025
2025-08-19,2025-08-19 13:40:00,262.5,45097.6,45149.1,SL,1.0,2.4757281553398056,dst_open,summer (EDT),2025
2025-08-20,2025-08-20 13:35:00,185.0,45006.4,44980.65,SL,-0.5,0.5533980582524272,dst_open,summer (EDT),2025
2025-08-22,2025-08-22 13:35:00,186.0,45108.2,45112.7,SL,0.08737864077669903,1.3495145631067962,dst_open,summer (EDT),2025
2025-08-27,2025-08-27 13:35:00,93.0,45501.9,45506.4,SL,0.08737864077669903,1.4660194174757282,dst_open,summer (EDT),2025
2025-09-17,2025-09-17 13:35:00,144.5,46065.8,46014.3,SL,-1.0,0.0,dst_open,summer (EDT),2025
2025-09-23,2025-09-23 13:35:00,82.29999999999563,46595.4,46646.9,SL,1.0,2.854368932038835,dst_open,summer (EDT),2025
2025-09-24,2025-09-24 13:35:00,107.0,46437.2,46441.7,SL,0.08737864077669903,0.7087378640776699,dst_open,summer (EDT),2025
2025-09-30,2025-09-30 13:35:00,124.0,46348.5,46297.0,SL,-1.0,0.2912621359223301,dst_open,summer (EDT),2025
2025-10-01,2025-10-01 13:35:00,236.6999999999971,46435.9,46410.15,SL,-0.5,0.5339805825242718,dst_open,summer (EDT),2025
2025-10-02,2025-10-02 13:35:00,76.69999999999709,46528.6,46533.1,SL,0.08737864077669903,1.3398058252427185,dst_open,summer (EDT),2025
