score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.337266,1.464486,2.477798,0.542373,0.021888,131.093695,59,2.0,10,12,21,0.5,2,30.0
5.336598,1.469114,2.422396,0.637931,0.017452,130.508712,58,2.5,18,8,26,1.0,2,50.0
5.336582,1.465829,2.459424,0.571429,0.022725,125.651911,42,1.5,16,8,19,0.5,2,30.0
5.336398,1.496094,2.416763,0.584906,0.016803,120.574218,53,2.5,18,9,18,1.0,2,50.0
5.336398,1.496094,2.416763,0.584906,0.016803,120.574218,53,2.5,18,9,18,1.0,3,50.0
5.336398,1.496094,2.416763,0.584906,0.016803,120.574218,53,2.5,18,9,18,1.0,4,50.0
5.335769,1.466896,2.456703,0.568966,0.013708,209.465473,58,2.0,14,11,18,0.5,2,30.0
5.33376,1.453139,2.47935,0.542373,0.038056,148.264507,59,1.0,10,12,21,0.5,2,30.0
5.333311,1.486874,2.411297,0.596774,0.017756,138.181277,62,2.5,18,11,23,1.0,2,50.0
5.331281,1.461929,2.447928,0.568182,0.017283,130.035243,44,2.0,14,9,18,0.5,2,30.0
5.331242,1.461847,2.451281,0.561404,0.018563,205.428962,57,1.5,16,11,18,0.5,2,30.0
5.330792,1.44716,2.461907,0.571429,0.019251,211.400246,56,1.5,12,9,26,0.5,3,30.0
5.330792,1.44716,2.461907,0.571429,0.019251,211.400246,56,1.5,12,9,26,0.5,4,30.0
5.330329,1.463864,2.446928,0.559322,0.014108,197.607882,59,2.0,10,11,18,0.5,2,30.0
5.329544,1.452997,2.455399,0.5625,0.021934,142.159164,48,1.5,10,9,18,0.5,3,30.0
5.329544,1.452997,2.455399,0.5625,0.021934,142.159164,48,1.5,10,9,18,0.5,4,30.0
5.328904,1.455014,2.449555,0.565217,0.021888,134.788509,46,1.5,10,8,19,0.5,3,30.0
5.328904,1.455014,2.449555,0.565217,0.021888,134.788509,46,1.5,10,8,19,0.5,4,30.0
5.328475,1.486589,2.398815,0.590164,0.017727,137.222184,61,2.5,18,12,21,1.0,2,50.0
5.327587,1.481273,2.388048,0.618182,0.019041,108.954029,55,2.5,18,10,18,1.0,3,50.0
5.327587,1.481273,2.388048,0.618182,0.019041,108.954029,55,2.5,18,10,18,1.0,4,50.0
5.327506,1.478885,2.40278,0.59375,0.015566,171.696979,64,2.5,14,9,23,1.0,3,50.0
5.327506,1.478885,2.40278,0.59375,0.015566,171.696979,64,2.5,14,9,23,1.0,4,50.0
5.327488,1.457704,2.442486,0.563636,0.012666,219.402432,55,2.0,16,11,20,0.5,2,30.0
5.326764,1.482647,2.418982,0.547619,0.044297,259.297596,126,1.0,14,9,22,1.0,2,30.0
5.324365,1.446535,2.443907,0.566038,0.014947,196.746846,53,2.0,14,9,26,0.5,3,30.0
5.324365,1.446535,2.443907,0.566038,0.014947,196.746846,53,2.0,14,9,26,0.5,4,30.0
5.322063,1.459496,2.418417,0.571429,0.017258,121.81993,42,2.0,14,8,19,0.5,2,30.0
5.321565,1.519219,2.332794,0.6,0.017238,198.862972,90,2.5,18,11,18,1.0,3,30.0
5.321565,1.519219,2.332794,0.6,0.017238,198.862972,90,2.5,18,11,18,1.0,4,30.0
5.321222,1.502362,2.377125,0.548387,0.022657,313.686892,124,1.5,14,8,21,1.0,2,30.0
5.320371,1.457076,2.4156,0.571429,0.017303,122.173683,42,2.0,16,8,19,0.5,2,30.0
5.320114,1.483363,2.376138,0.587302,0.013928,181.846167,63,2.5,14,10,20,1.0,3,50.0
5.320114,1.483363,2.376138,0.587302,0.013928,181.846167,63,2.5,14,10,20,1.0,4,50.0
5.319138,1.455357,2.41851,0.561404,0.014079,201.181293,57,2.0,16,11,18,0.5,2,30.0
5.319089,1.451079,2.428527,0.55102,0.018786,177.321019,49,1.5,16,10,19,0.5,2,30.0
5.313163,1.474408,2.361984,0.590164,0.013935,178.17917,61,2.5,14,9,22,1.0,3,50.0
5.313163,1.474408,2.361984,0.590164,0.013935,178.17917,61,2.5,14,9,22,1.0,4,50.0
5.311665,1.452768,2.409464,0.535714,0.018159,209.194927,56,1.5,14,12,19,0.5,2,30.0
5.310645,1.484131,2.353998,0.566667,0.02566,358.536293,150,1.5,14,11,19,1.0,3,30.0
5.310571,1.48986,2.350097,0.560606,0.015958,164.269796,66,2.5,14,11,21,1.0,3,50.0
5.310571,1.48986,2.350097,0.560606,0.015958,164.269796,66,2.5,14,11,21,1.0,4,50.0
5.307042,1.428263,2.406187,0.568627,0.019252,174.861551,51,1.5,10,8,26,0.5,3,30.0
5.307042,1.428263,2.406187,0.568627,0.019252,174.861551,51,1.5,10,8,26,0.5,4,30.0
5.306441,1.434475,2.395534,0.571429,0.014928,200.417064,56,2.0,12,9,26,0.5,3,30.0
5.306441,1.434475,2.395534,0.571429,0.014928,200.417064,56,2.0,12,9,26,0.5,4,30.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,19,1.0,2,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,19,1.0,3,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,19,1.0,4,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,20,1.0,2,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,20,1.0,3,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,20,1.0,4,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,21,1.0,2,50.0
5.305875,1.463503,2.349199,0.592593,0.019047,107.161367,54,2.5,18,9,21,1.0,3,50.0
